Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100
Base Time Seconds,1592995635
Base Time Fractional,.535376620
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,9.984127245843e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999978001,Amp DC,.0001,T,4W,F,F,06/24/2020,10:47:15,.535376620
2,6.661015504505e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001091087543,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:15,.697987740
3,6.351299816743e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001181957923,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:15,.781706620
4,6.732479960192e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001272466034,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:15,.865466980
5,7.197057129815e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001363466436,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:15,.949213320
6,7.351907697739e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001454480516,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.032941240
7,7.637794624316e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001545529230,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.116684580
8,7.935585017549e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001636531961,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.200409340
9,8.138071279973e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001727596537,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.284140480
10,8.042785339057e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001817960438,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.367873460
11,8.173818059731e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001908970298,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.451603700
12,8.400133083342e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002000007080,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.535322080
13,8.233364496846e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002091021452,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.619053760
14,8.400129445363e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002182049066,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.702772920
15,9.138664609054e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002272572456,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.786483460
16,8.781298674876e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002363582316,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.870217820
17,8.936156518757e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002454430796,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:16,.953927640
18,9.758077794686e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002545451280,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.037670640
19,9.388797479915e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002636480785,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.121383740
20,9.543640771881e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002727500396,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.205123800
21,1.035366585711e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002818023786,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.288858840
22,1.048468766385e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002909055911,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.372594180
23,1.109217919293e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003000085708,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.456326860
24,1.181880725198e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003090949322,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.540039220
25,1.242631333298e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003181985521,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.623784660
26,1.281937875319e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003272456233,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.707527880
27,1.265259561478e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003363477590,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.791270220
28,1.385569339618e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003454514954,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.875004540
29,1.354599589831e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003545513027,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:17,.958731180
30,1.414159851265e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003636548354,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.042455860
31,1.451086427551e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003727450676,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.126168540
32,1.503496605437e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003817954857,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.209893720
33,1.54637855303e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003908973886,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.293634220
34,1.476097895647e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003999977198,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.377353440
35,1.539232835057e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004091003211,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.461099520
36,1.639291076572e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004182042612,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.544837980
37,1.638098910917e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004272511287,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.628564460
38,1.591643012944e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004363351327,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.712308680
39,1.635714215809e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004454399459,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.796038260
40,1.655963933445e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004545426928,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.879787260
41,1.722672823234e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004636453232,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:18,.963504540
42,1.739349318086e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004727494670,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.047230100
43,1.727436392684e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004818002635,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.130949940
44,1.773894109647e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004909017589,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.214656920
45,1.776274802978e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004999858793,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.298379520
46,1.791760951164e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005090890336,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.382094620
47,1.873950168374e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005181895103,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.465835800
48,1.834641807363e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005272404524,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.549587840
49,1.900158531498e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005363441887,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.633314620
50,1.894201704999e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005454459460,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.717049400
51,1.966861600522e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005545484019,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.800765000
52,1.951377998921e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005636392161,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.884494020
53,1.990685268538e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005727353855,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:19,.968206080
54,2.008552837651e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005817900528,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.051942560
55,2.026420042966e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005908918683,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.135670680
56,2.04905118153e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0005999939167,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.219395460
57,2.0681105525e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006090963143,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.303114920
58,2.082404171233e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006181931240,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.386852740
59,2.119328928529e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006272426108,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.470593980
60,2.157448398066e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006363307475,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.554333880
61,2.178889189963e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006454318645,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.638069480
62,2.187227437389e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006545365904,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.721812160
63,2.218197550974e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006636416656,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.805549260
64,2.245594441774e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006727424334,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.889283500
65,2.281329580001e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006817938993,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:20,.973003100
66,2.242020491394e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006908958312,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.056737020
67,2.296815000591e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006999805337,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.140461540
68,2.330166535103e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007090793224,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.224181040
69,2.384961044299e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007181824185,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.307897800
70,2.353990203119e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007272361545,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.391619860
71,2.384962499491e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007363361074,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.475333060
72,2.425458296784e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007454399019,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.559070820
73,2.450473766658e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007545470144,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.642817560
74,2.473105632816e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007636277005,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.726555000
75,2.529092671466e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007727339398,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.810288440
76,2.477871385054e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0007817812148,Amp DC,.001,T,4W,F,F,06/24/2020,10:47:21,.894011540
