Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100
Base Time Seconds,1593687091
Base Time Fractional,.618060880
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,9.734128980199e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000009999735,Amp DC,.000001,T,4W,F,F,07/02/2020,10:51:31,.618060880
2,5.815407348564e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000008762830,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:31,.780673960
3,5.827329005115e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000009067475,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:31,.864428420
4,6.232330633793e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000013525803,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:31,.948187940
5,6.13703741692e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014158520,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.031945640
6,6.184687663335e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014129230,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.115701440
7,6.137033778941e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014135085,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.199464880
8,6.661146471743e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014152656,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.283225040
9,7.292514055735e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000018605142,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.366973000
10,7.29249586584e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000019208558,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.450710620
11,6.958962330827e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000019226134,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.534455640
12,7.983377145138e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000023666880,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.618186300
13,8.28117117635e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024311314,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.701951900
14,8.531322237104e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024299600,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.785717220
15,8.936338417698e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000028781365,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.869484560
16,8.745748345973e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000029437520,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:32,.953233140
17,1.00441466202e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000033866554,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.036992320
18,1.035386230797e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000034522714,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.120756680
19,1.11281296995e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000038992748,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.204533100
20,1.181901825476e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000044077933,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.288290560
21,1.190240072901e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000044716508,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.372038100
22,1.335564957117e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000049168971,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.455782440
23,1.391550904373e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000054236580,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.539526200
24,1.470170536777e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000059187037,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.623290160
25,1.548790169181e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000064278088,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.707034980
26,1.63217264344e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000069386697,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.790791700
27,1.79179260158e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000074501186,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.874553640
28,1.902571602841e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000079603924,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:33,.958315700
29,1.910909850267e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000083201039,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:34,.042061840
30,2.10030884773e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000092527789,Amp DC,.01,T,4W,F,F,07/02/2020,10:51:34,.125819440
