Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100
Base Time Seconds,1592996182
Base Time Fractional,.759433740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.637543603778e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000009999769,Amp DC,.000001,T,4W,F,F,06/24/2020,10:56:22,.759433740
2,4.409706889419e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000008844824,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:22,.922046160
3,3.849851054838e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000009161184,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.005783560
4,4.421617632033e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000013672225,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.089534820
5,3.968976670876e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014299089,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.173269360
6,4.171473847236e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014263937,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.257002920
7,3.468678187346e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014228788,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.340716600
8,3.492488758639e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014240502,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.424439080
9,3.397188265808e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000018681239,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.508144540
10,3.039844159503e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000019360830,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.591878340
11,2.515716914786e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000019354970,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.675613240
12,3.004111931659e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000023813291,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.759354640
13,2.563367161201e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024463582,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.843094280
14,3.242355887778e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024492883,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:23,.926824120
15,3.18279126077e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000028927764,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.010549560
16,2.694399881875e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000029548760,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.094281940
17,3.087490767939e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000033995359,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.178019980
18,3.170880518155e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000034651516,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.261746340
19,3.587796527427e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000039133265,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.345478300
20,3.33765274263e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000044230164,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.429197700
21,2.71823228104e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000044903891,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.512938320
22,3.36147058988e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000049321197,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.596675740
23,3.528231900418e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000054412226,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.680395700
24,2.861175744329e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000059362665,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.764116280
25,2.825421688613e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000064430246,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.847851360
26,3.587778337533e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000069515413,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:24,.931571240
27,3.21853076457e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000074594764,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.015305900
28,3.063665644731e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000079726797,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.099020800
29,3.087490767939e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000083335635,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.182749520
30,2.837350621121e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000092650653,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.266489280
31,3.409117198316e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000098409555,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.350205920
32,3.039836883545e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000107976457,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.433938180
33,3.861765435431e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000113594770,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.517682960
34,3.552064299583e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000123185164,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.601418420
35,3.635443135863e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000133343801,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.685145720
36,3.49248512066e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000143578527,Amp DC,.01,T,4W,F,F,06/24/2020,10:56:25,.768879940
