Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100
Base Time Seconds,1593687336
Base Time Fractional,.946649180
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.787025757949e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000008739394,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:36,.946649180
2,1.753674223437e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000008997172,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.030393440
3,1.789410816855e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000008944448,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.114158340
4,2.387389031355e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000013414492,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.197920780
5,2.318299448234e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014082361,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.281669440
6,2.293283978361e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014088216,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.365419240
7,2.307577597094e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014076500,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.449190080
8,2.356417462579e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000014064783,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.532927060
9,2.921044142568e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000018476251,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.616674640
10,2.880543252104e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000019144120,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.700426840
11,2.916277662735e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000019114823,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.784176880
12,3.523785198922e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000023573148,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.867915500
13,3.526164437062e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024229289,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:37,.951664740
14,3.560709956218e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000024270303,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.035419520
15,4.080071448698e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000028705201,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.119191100
16,4.045526657137e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000029384787,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.202942540
17,4.614918361767e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000033761103,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.286704480
18,4.703065133072e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000034475836,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.370439580
19,5.260542457108e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000038846283,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.454194240
20,5.826360938954e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000043966629,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.537948680
21,5.803726890008e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000044669646,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.621701900
22,6.402897997759e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000049022524,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.705463040
23,7.059241761453e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000054172147,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.789214820
24,7.586940773763e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000059140170,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.872981560
25,8.152757072821e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000064213641,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:38,.956722980
26,8.809100836515e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000069310522,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.040490060
27,9.323695849162e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000074383997,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.124238680
28,9.937156573869e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000079463298,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.207978040
29,0.0001035050227074,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000083136592,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.291745460
30,0.0001146307185991,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000092340297,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.375489560
31,0.000119872027426,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000098146129,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.459251640
32,0.0001320460432908,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000107654505,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.542996540
33,0.0001375493302476,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000113354818,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.626745680
34,0.0001496279874118,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000122863175,Amp DC,.01,T,4W,F,F,07/02/2020,10:55:39,.710494480
